order_item_id,order_id,product_id,quantity,unit_price,total_price
OI000043,ORD00014,PROD0007,3,7612.19,22836.57
OI000044,ORD00014,PROD0051,2,801.49,1602.98
OI000045,ORD00014,PROD0089,2,1013.75,2027.5
OI000046,ORD00015,PROD0043,3,7681.76,23045.28
OI000047,ORD00015,PROD0108,3,3378.38,10135.14
OI000048,ORD00016,PROD0041,3,673.46,2020.38
OI000049,ORD00016,PROD0066,2,6996.26,13992.52
OI000050,ORD00016,PROD0074,3,5831.3,17493.9
OI000051,ORD00016,PROD0005,2,2068.49,4136.98
OI000052,ORD00016,PROD0036,3,8718.13,26154.39
OI000053,ORD00017,PROD0039,1,6029.55,6029.55
OI000054,ORD00017,PROD0023,2,8776.04,17552.08
OI000055,ORD00017,PROD0016,1,1710.28,1710.28
OI000056,ORD00017,PROD0011,1,5408.66,5408.66
OI000057,ORD00018,PROD0092,2,5652.98,11305.96
OI000058,ORD00018,PROD0050,2,2366.52,4733.04
OI000059,ORD00018,PROD0007,3,7612.19,22836.57
OI000060,ORD00018,PROD0060,3,4486.99,13460.97
OI000061,ORD00018,PROD0030,3,6004.45,18013.35
OI000062,ORD00019,PROD0110,3,4402.18,13206.54
OI000063,ORD00019,PROD0047,3,4437.19,13311.57
OI000064,ORD00020,PROD0114,1,3705.79,3705.79
OI000065,ORD00020,PROD0051,1,801.49,801.49
OI000066,ORD00020,PROD0029,3,1613.13,4839.39
OI000067,ORD00021,PROD0011,2,5408.66,10817.32
OI000068,ORD00021,PROD0118,3,6682.8,20048.4
OI000069,ORD00021,PROD0102,2,2741.38,5482.76
OI000070,ORD00021,PROD0059,3,1916.53,5749.59
OI000071,ORD00021,PROD0075,1,6607.99,6607.99
OI000072,ORD00022,PROD0046,1,7158.19,7158.19
OI000073,ORD00023,PROD0056,3,6766.31,20298.93
OI000074,ORD00023,PROD0066,2,6996.26,13992.52
OI000075,ORD00023,PROD0006,1,2282.36,2282.36
OI000076,ORD00023,PROD0019,2,4676.38,9352.76
OI000077,ORD00023,PROD0026,3,2701.14,8103.42
OI000078,ORD00024,PROD0049,3,2378.14,7134.42
OI000079,ORD00024,PROD0073,1,4097.38,4097.38
OI000080,ORD00024,PROD0055,3,4293.43,12880.29
OI000081,ORD00024,PROD0094,1,1566.13,1566.13
OI000082,ORD00025,PROD0113,2,5247.21,10494.42
OI000083,ORD00025,PROD0068,3,2255.24,6765.72
OI000084,ORD00025,PROD0032,3,6834.81,20504.43
OI000085,ORD00026,PROD0062,1,9271.03,9271.03
OI000086,ORD00026,PROD0084,1,6711.85,6711.85
OI000087,ORD00026,PROD0013,3,5815.79,17447.37
OI000088,ORD00027,PROD0037,2,6128.81,12257.62
OI000089,ORD00028,PROD0109,3,1867.82,5603.46
OI000090,ORD00028,PROD0034,3,3005.65,9016.95
OI000091,ORD00028,PROD0007,1,7612.19,7612.19
OI000092,ORD00029,PROD0031,2,5338.23,10676.46
OI000093,ORD00029,PROD0109,1,1867.82,1867.82
OI000094,ORD00029,PROD0117,3,7002.36,21007.08
OI000095,ORD00029,PROD0029,3,1613.13,4839.39
OI000096,ORD00030,PROD0042,3,947.97,2843.91
OI000097,ORD00030,PROD0105,3,2306.94,6920.82
OI000098,ORD00030,PROD0026,3,2701.14,8103.42
OI000099,ORD00030,PROD0087,3,2185.23,6555.69
OI000100,ORD00030,PROD0098,3,9740.99,29222.97
OI000101,ORD00031,PROD0002,2,7391.07,14782.14
OI000102,ORD00031,PROD0099,2,8659.6,17319.2
OI000103,ORD00032,PROD0078,3,3230.15,9690.45
OI000104,ORD00032,PROD0020,3,2274.19,6822.57
OI000105,ORD00032,PROD0033,3,7533.69,22601.07
OI000106,ORD00033,PROD0045,3,9647.19,28941.57
OI000107,ORD00033,PROD0053,2,5804.5,11609
OI000108,ORD00034,PROD0061,3,600.82,1802.46
OI000109,ORD00034,PROD0082,1,1661.69,1661.69
OI000110,ORD00034,PROD0039,1,6029.55,6029.55
OI000111,ORD00034,PROD0112,2,1981.78,3963.56
OI000112,ORD00034,PROD0001,3,347.61,1042.83
OI000113,ORD00035,PROD0102,1,2741.38,2741.38
OI000114,ORD00035,PROD0080,2,5422.58,10845.16
OI000115,ORD00035,PROD0059,2,1916.53,3833.06
OI000116,ORD00035,PROD0043,1,7681.76,7681.76
OI000117,ORD00035,PROD0014,1,7753.38,7753.38
OI000118,ORD00036,PROD0036,2,8718.13,17436.26
OI000119,ORD00036,PROD0046,1,7158.19,7158.19
OI000120,ORD00036,PROD0070,1,4820.21,4820.21
OI000121,ORD00036,PROD0012,1,3002.46,3002.46
OI000122,ORD00037,PROD0073,1,4097.38,4097.38
OI000123,ORD00037,PROD0106,2,2858.17,5716.34
OI000124,ORD00037,PROD0040,1,8799.35,8799.35
OI000125,ORD00037,PROD0075,2,6607.99,13215.98
OI000126,ORD00038,PROD0076,2,2122.17,4244.34
OI000127,ORD00039,PROD0070,2,4820.21,9640.42
OI000128,ORD00039,PROD0080,3,5422.58,16267.74
OI000129,ORD00039,PROD0012,3,3002.46,9007.38
OI000130,ORD00039,PROD0031,3,5338.23,16014.69
OI000131,ORD00039,PROD0014,2,7753.38,15506.76
OI000132,ORD00040,PROD0020,3,2274.19,6822.57
OI000133,ORD00040,PROD0004,2,2264.52,4529.04
OI000134,ORD00040,PROD0044,3,1734.76,5204.28
OI000135,ORD00041,PROD0087,2,2185.23,4370.46
OI000136,ORD00041,PROD0085,3,9395.41,28186.23
OI000137,ORD00041,PROD0055,2,4293.43,8586.86
OI000138,ORD00041,PROD0081,3,8820.56,26461.68
OI000139,ORD00042,PROD0065,1,9272.53,9272.53
OI000140,ORD00042,PROD0060,1,4486.99,4486.99
OI000141,ORD00042,PROD0019,3,4676.38,14029.14
OI000142,ORD00042,PROD0009,1,1111.88,1111.88
OI000143,ORD00043,PROD0046,3,7158.19,21474.57
OI000144,ORD00043,PROD0009,2,1111.88,2223.76
OI000145,ORD00043,PROD0064,1,1729.91,1729.91
OI000146,ORD00043,PROD0030,3,6004.45,18013.35
OI000147,ORD00044,PROD0006,3,2282.36,6847.08
OI000148,ORD00044,PROD0014,1,7753.38,7753.38
OI000149,ORD00044,PROD0043,3,7681.76,23045.28
OI000150,ORD00044,PROD0086,1,7449.93,7449.93
OI000151,ORD00044,PROD0083,2,6155.61,12311.22
OI000152,ORD00045,PROD0040,1,8799.35,8799.35
OI000153,ORD00045,PROD0120,3,3108.36,9325.08
OI000154,ORD00045,PROD0009,1,1111.88,1111.88
OI000155,ORD00045,PROD0029,3,1613.13,4839.39
OI000156,ORD00046,PROD0092,1,5652.98,5652.98
OI000157,ORD00046,PROD0118,3,6682.8,20048.4
OI000158,ORD00046,PROD0007,2,7612.19,15224.38
OI000159,ORD00047,PROD0007,1,7612.19,7612.19
OI000160,ORD00048,PROD0022,3,2750.63,8251.89
OI000161,ORD00048,PROD0080,2,5422.58,10845.16
OI000162,ORD00048,PROD0012,1,3002.46,3002.46
OI000163,ORD00049,PROD0091,1,1699.66,1699.66
OI000164,ORD00049,PROD0001,1,347.61,347.61
OI000165,ORD00049,PROD0033,2,7533.69,15067.38
OI000166,ORD00049,PROD0034,2,3005.65,6011.3
OI000167,ORD00049,PROD0052,2,2220.94,4441.88
OI000168,ORD00050,PROD0029,2,1613.13,3226.26
OI000169,ORD00050,PROD0040,2,8799.35,17598.7
OI000170,ORD00050,PROD0054,1,1985.06,1985.06
OI000171,ORD00051,PROD0046,1,7158.19,7158.19
OI000172,ORD00051,PROD0081,3,8820.56,26461.68
OI000173,ORD00052,PROD0022,1,2750.63,2750.63
OI000174,ORD00052,PROD0100,2,345.38,690.76
OI000175,ORD00052,PROD0096,2,8999.35,17998.7
OI000176,ORD00052,PROD0062,1,9271.03,9271.03
OI000177,ORD00053,PROD0049,3,2378.14,7134.42
OI000178,ORD00053,PROD0015,2,3863.25,7726.5
OI000179,ORD00054,PROD0050,1,2366.52,2366.52
OI000180,ORD00055,PROD0108,2,3378.38,6756.76
OI000181,ORD00055,PROD0017,1,7048.02,7048.02
OI000182,ORD00055,PROD0073,1,4097.38,4097.38
OI000183,ORD00055,PROD0036,2,8718.13,17436.26
OI000184,ORD00055,PROD0030,2,6004.45,12008.9
OI000185,ORD00056,PROD0059,2,1916.53,3833.06
OI000186,ORD00056,PROD0078,3,3230.15,9690.45
OI000187,ORD00056,PROD0082,2,1661.69,3323.38
OI000188,ORD00056,PROD0037,2,6128.81,12257.62
OI000189,ORD00056,PROD0076,2,2122.17,4244.34
OI000190,ORD00057,PROD0094,3,1566.13,4698.39
OI000191,ORD00057,PROD0019,3,4676.38,14029.14
OI000192,ORD00057,PROD0061,1,600.82,600.82
OI000193,ORD00057,PROD0044,1,1734.76,1734.76
OI000194,ORD00058,PROD0110,3,4402.18,13206.54
OI000195,ORD00058,PROD0091,2,1699.66,3399.32
OI000196,ORD00058,PROD0116,2,5120.51,10241.02
OI000197,ORD00058,PROD0085,3,9395.41,28186.23
OI000198,ORD00058,PROD0073,2,4097.38,8194.76
OI000199,ORD00059,PROD0046,3,7158.19,21474.57
OI000200,ORD00059,PROD0028,2,5144.31,10288.62
OI000201,ORD00060,PROD0048,3,2324.5,6973.5
OI000202,ORD00061,PROD0115,2,6269.24,12538.48
OI000203,ORD00061,PROD0060,2,4486.99,8973.98
OI000204,ORD00061,PROD0090,1,135.1,135.1
OI000205,ORD00061,PROD0087,2,2185.23,4370.46
OI000206,ORD00061,PROD0031,2,5338.23,10676.46
OI000207,ORD00062,PROD0045,1,9647.19,9647.19
OI000208,ORD00062,PROD0043,3,7681.76,23045.28
OI000209,ORD00062,PROD0088,2,5103.55,10207.1
OI000210,ORD00062,PROD0074,3,5831.3,17493.9
OI000211,ORD00062,PROD0036,2,8718.13,17436.26
OI000212,ORD00063,PROD0034,1,3005.65,3005.65
OI000213,ORD00064,PROD0047,3,4437.19,13311.57
OI000214,ORD00065,PROD0029,3,1613.13,4839.39
OI000215,ORD00065,PROD0035,3,9721.69,29165.07
OI000216,ORD00065,PROD0109,1,1867.82,1867.82
OI000217,ORD00066,PROD0008,1,2850.93,2850.93
OI000218,ORD00066,PROD0049,1,2378.14,2378.14
OI000219,ORD00066,PROD0095,3,8999.92,26999.76
OI000220,ORD00066,PROD0031,3,5338.23,16014.69
OI000221,ORD00066,PROD0048,3,2324.5,6973.5
OI000222,ORD00067,PROD0070,3,4820.21,14460.63
OI000223,ORD00068,PROD0019,1,4676.38,4676.38
OI000224,ORD00068,PROD0048,2,2324.5,4649
OI000225,ORD00068,PROD0117,3,7002.36,21007.08
OI000226,ORD00068,PROD0004,1,2264.52,2264.52
OI000227,ORD00068,PROD0001,1,347.61,347.61
OI000228,ORD00069,PROD0024,1,4016.76,4016.76
OI000229,ORD00069,PROD0032,1,6834.81,6834.81
OI000230,ORD00069,PROD0030,2,6004.45,12008.9
OI000231,ORD00069,PROD0071,1,663.11,663.11
OI000232,ORD00069,PROD0086,1,7449.93,7449.93
OI000233,ORD00070,PROD0097,2,3601.42,7202.84
OI000234,ORD00070,PROD0032,1,6834.81,6834.81
OI000235,ORD00070,PROD0101,3,8042.13,24126.39
OI000236,ORD00070,PROD0031,3,5338.23,16014.69
OI000237,ORD00070,PROD0014,2,7753.38,15506.76
OI000238,ORD00071,PROD0111,3,6101.47,18304.41
OI000239,ORD00071,PROD0072,1,778.36,778.36
OI000240,ORD00071,PROD0024,2,4016.76,8033.52
OI000241,ORD00071,PROD0030,1,6004.45,6004.45
OI000242,ORD00072,PROD0090,2,135.1,270.2
OI000243,ORD00072,PROD0117,1,7002.36,7002.36
OI000244,ORD00072,PROD0051,2,801.49,1602.98
OI000245,ORD00073,PROD0033,3,7533.69,22601.07
OI000246,ORD00074,PROD0059,2,1916.53,3833.06
OI000247,ORD00074,PROD0100,2,345.38,690.76
OI000248,ORD00074,PROD0072,1,778.36,778.36
OI000249,ORD00075,PROD0078,1,3230.15,3230.15
OI000250,ORD00076,PROD0047,1,4437.19,4437.19
OI000251,ORD00076,PROD0016,2,1710.28,3420.56
OI000252,ORD00076,PROD0026,1,2701.14,2701.14
OI000253,ORD00076,PROD0094,1,1566.13,1566.13
OI000254,ORD00076,PROD0093,2,5501.34,11002.68
OI000255,ORD00077,PROD0060,1,4486.99,4486.99
OI000256,ORD00078,PROD0066,2,6996.26,13992.52
OI000257,ORD00078,PROD0076,3,2122.17,6366.51
OI000258,ORD00078,PROD0113,1,5247.21,5247.21
OI000259,ORD00079,PROD0105,3,2306.94,6920.82
OI000260,ORD00080,PROD0079,1,4637.03,4637.03
OI000261,ORD00080,PROD0065,1,9272.53,9272.53
OI000262,ORD00080,PROD0027,3,4054.07,12162.21
OI000263,ORD00081,PROD0051,2,801.49,1602.98
OI000264,ORD00082,PROD0016,1,1710.28,1710.28
OI000265,ORD00082,PROD0031,2,5338.23,10676.46
OI000266,ORD00082,PROD0040,1,8799.35,8799.35
OI000267,ORD00082,PROD0059,2,1916.53,3833.06
OI000268,ORD00083,PROD0091,2,1699.66,3399.32
OI000269,ORD00083,PROD0011,2,5408.66,10817.32
OI000270,ORD00083,PROD0052,1,2220.94,2220.94
OI000271,ORD00084,PROD0057,1,7309.31,7309.31
OI000272,ORD00085,PROD0057,3,7309.31,21927.93
OI000273,ORD00085,PROD0115,3,6269.24,18807.72
OI000274,ORD00086,PROD0115,2,6269.24,12538.48
OI000275,ORD00086,PROD0032,3,6834.81,20504.43
OI000276,ORD00087,PROD0061,2,600.82,1201.64
OI000277,ORD00087,PROD0057,1,7309.31,7309.31
OI000278,ORD00087,PROD0042,2,947.97,1895.94
OI000279,ORD00087,PROD0038,1,5439.85,5439.85
OI000280,ORD00087,PROD0103,2,8734.45,17468.9
OI000281,ORD00088,PROD0046,3,7158.19,21474.57
OI000282,ORD00088,PROD0055,2,4293.43,8586.86
OI000283,ORD00088,PROD0097,1,3601.42,3601.42
OI000284,ORD00088,PROD0075,2,6607.99,13215.98
OI000285,ORD00089,PROD0068,2,2255.24,4510.48
OI000286,ORD00090,PROD0093,1,5501.34,5501.34
OI000287,ORD00090,PROD0099,2,8659.6,17319.2
OI000288,ORD00091,PROD0107,3,3576.35,10729.05
OI000289,ORD00091,PROD0111,3,6101.47,18304.41
OI000290,ORD00091,PROD0041,1,673.46,673.46
OI000291,ORD00091,PROD0095,1,8999.92,8999.92
OI000292,ORD00091,PROD0024,3,4016.76,12050.28
OI000293,ORD00092,PROD0042,2,947.97,1895.94
OI000294,ORD00092,PROD0072,3,778.36,2335.08
OI000295,ORD00093,PROD0029,2,1613.13,3226.26
OI000296,ORD00093,PROD0112,1,1981.78,1981.78
OI000297,ORD00093,PROD0013,3,5815.79,17447.37
OI000298,ORD00093,PROD0024,3,4016.76,12050.28
OI000299,ORD00094,PROD0053,1,5804.5,5804.5
OI000300,ORD00094,PROD0087,2,2185.23,4370.46
OI000301,ORD00095,PROD0045,1,9647.19,9647.19
OI000302,ORD00095,PROD0112,1,1981.78,1981.78
OI000303,ORD00095,PROD0029,3,1613.13,4839.39
OI000304,ORD00095,PROD0021,2,2367.58,4735.16
OI000305,ORD00095,PROD0057,3,7309.31,21927.93
OI000306,ORD00096,PROD0088,1,5103.55,5103.55
OI000307,ORD00096,PROD0113,1,5247.21,5247.21
OI000308,ORD00096,PROD0072,2,778.36,1556.72
OI000309,ORD00096,PROD0106,3,2858.17,8574.51
OI000310,ORD00097,PROD0075,3,6607.99,19823.97
OI000311,ORD00097,PROD0102,1,2741.38,2741.38
OI000312,ORD00097,PROD0113,1,5247.21,5247.21
OI000313,ORD00098,PROD0056,2,6766.31,13532.62
OI000314,ORD00099,PROD0019,3,4676.38,14029.14
OI000315,ORD00099,PROD0071,2,663.11,1326.22
OI000316,ORD00099,PROD0054,3,1985.06,5955.18
OI000317,ORD00100,PROD0104,2,8184.21,16368.42
OI000318,ORD00100,PROD0003,3,960.69,2882.07
OI000319,ORD00100,PROD0067,1,6652.53,6652.53
OI000320,ORD00100,PROD0087,3,2185.23,6555.69
OI000321,ORD00101,PROD0078,2,3230.15,6460.3
OI000322,ORD00101,PROD0066,1,6996.26,6996.26
OI000323,ORD00101,PROD0039,1,6029.55,6029.55
OI000324,ORD00101,PROD0060,3,4486.99,13460.97
OI000325,ORD00101,PROD0070,3,4820.21,14460.63
OI000326,ORD00102,PROD0089,1,1013.75,1013.75
OI000327,ORD00102,PROD0071,2,663.11,1326.22
OI000328,ORD00102,PROD0029,1,1613.13,1613.13
OI000329,ORD00102,PROD0081,2,8820.56,17641.12
OI000330,ORD00102,PROD0015,3,3863.25,11589.75
OI000331,ORD00103,PROD0062,1,9271.03,9271.03
OI000332,ORD00104,PROD0086,2,7449.93,14899.86
OI000333,ORD00104,PROD0019,2,4676.38,9352.76
OI000334,ORD00104,PROD0066,1,6996.26,6996.26
OI000335,ORD00104,PROD0028,3,5144.31,15432.93
OI000336,ORD00104,PROD0048,3,2324.5,6973.5
OI000337,ORD00105,PROD0074,3,5831.3,17493.9
OI000338,ORD00105,PROD0059,2,1916.53,3833.06
OI000339,ORD00105,PROD0013,3,5815.79,17447.37
OI000340,ORD00106,PROD0074,3,5831.3,17493.9
OI000341,ORD00106,PROD0050,2,2366.52,4733.04
OI000342,ORD00106,PROD0117,2,7002.36,14004.72
OI000343,ORD00107,PROD0042,3,947.97,2843.91
OI000344,ORD00107,PROD0067,2,6652.53,13305.06
OI000345,ORD00108,PROD0042,1,947.97,947.97
OI000346,ORD00108,PROD0057,2,7309.31,14618.62
OI000347,ORD00108,PROD0103,3,8734.45,26203.35
OI000348,ORD00109,PROD0114,1,3705.79,3705.79
OI000349,ORD00109,PROD0010,3,6076.89,18230.67
OI000350,ORD00109,PROD0046,1,7158.19,7158.19
OI000351,ORD00110,PROD0047,3,4437.19,13311.57
OI000352,ORD00111,PROD0011,1,5408.66,5408.66
OI000353,ORD00111,PROD0075,1,6607.99,6607.99
OI000354,ORD00111,PROD0107,3,3576.35,10729.05
OI000355,ORD00111,PROD0028,1,5144.31,5144.31
OI000356,ORD00112,PROD0080,3,5422.58,16267.74
OI000357,ORD00112,PROD0078,3,3230.15,9690.45
OI000358,ORD00112,PROD0095,3,8999.92,26999.76
OI000359,ORD00112,PROD0012,2,3002.46,6004.92
OI000360,ORD00113,PROD0045,3,9647.19,28941.57
OI000361,ORD00113,PROD0016,1,1710.28,1710.28
OI000362,ORD00113,PROD0055,3,4293.43,12880.29
OI000363,ORD00113,PROD0117,3,7002.36,21007.08
OI000364,ORD00114,PROD0075,3,6607.99,19823.97
OI000365,ORD00115,PROD0015,3,3863.25,11589.75
OI000366,ORD00116,PROD0029,3,1613.13,4839.39
OI000367,ORD00116,PROD0063,1,4907.85,4907.85
OI000368,ORD00116,PROD0112,2,1981.78,3963.56
OI000369,ORD00116,PROD0027,2,4054.07,8108.14
OI000370,ORD00117,PROD0025,2,2722.31,5444.62
OI000371,ORD00117,PROD0119,2,6193.6,12387.2
OI000372,ORD00117,PROD0068,1,2255.24,2255.24
OI000373,ORD00117,PROD0115,3,6269.24,18807.72
OI000374,ORD00117,PROD0098,1,9740.99,9740.99
OI000375,ORD00118,PROD0005,2,2068.49,4136.98
OI000376,ORD00119,PROD0084,1,6711.85,6711.85
OI000377,ORD00119,PROD0022,2,2750.63,5501.26
OI000378,ORD00119,PROD0015,1,3863.25,3863.25
OI000379,ORD00120,PROD0011,3,5408.66,16225.98
OI000380,ORD00120,PROD0085,1,9395.41,9395.41
OI000381,ORD00121,PROD0070,3,4820.21,14460.63
OI000382,ORD00121,PROD0078,3,3230.15,9690.45
OI000383,ORD00121,PROD0119,2,6193.6,12387.2
OI000384,ORD00122,PROD0001,1,347.61,347.61
OI000385,ORD00122,PROD0021,3,2367.58,7102.74
OI000386,ORD00123,PROD0040,3,8799.35,26398.05
OI000387,ORD00123,PROD0068,1,2255.24,2255.24
OI000388,ORD00123,PROD0095,1,8999.92,8999.92
OI000389,ORD00124,PROD0053,2,5804.5,11609
OI000390,ORD00124,PROD0075,1,6607.99,6607.99
OI000391,ORD00124,PROD0110,2,4402.18,8804.36
OI000392,ORD00124,PROD0049,2,2378.14,4756.28
OI000393,ORD00125,PROD0040,1,8799.35,8799.35
OI000394,ORD00125,PROD0120,1,3108.36,3108.36
OI000395,ORD00125,PROD0032,1,6834.81,6834.81
OI000396,ORD00125,PROD0017,3,7048.02,21144.06
OI000397,ORD00125,PROD0057,2,7309.31,14618.62
OI000398,ORD00126,PROD0003,2,960.69,1921.38
OI000399,ORD00127,PROD0073,3,4097.38,12292.14
OI000400,ORD00127,PROD0088,2,5103.55,10207.1
OI000401,ORD00127,PROD0070,1,4820.21,4820.21
OI000402,ORD00127,PROD0099,3,8659.6,25978.8
OI000403,ORD00127,PROD0090,1,135.1,135.1
OI000404,ORD00128,PROD0064,3,1729.91,5189.73
OI000405,ORD00128,PROD0042,3,947.97,2843.91
OI000406,ORD00128,PROD0113,3,5247.21,15741.63
OI000407,ORD00128,PROD0108,3,3378.38,10135.14
OI000408,ORD00128,PROD0101,1,8042.13,8042.13
OI000409,ORD00129,PROD0079,3,4637.03,13911.09
OI000410,ORD00130,PROD0112,3,1981.78,5945.34
OI000411,ORD00130,PROD0020,1,2274.19,2274.19
OI000412,ORD00131,PROD0078,2,3230.15,6460.3
OI000413,ORD00131,PROD0059,3,1916.53,5749.59
OI000414,ORD00132,PROD0079,3,4637.03,13911.09
OI000415,ORD00132,PROD0024,3,4016.76,12050.28
OI000416,ORD00133,PROD0110,1,4402.18,4402.18
OI000417,ORD00133,PROD0063,3,4907.85,14723.55
OI000418,ORD00133,PROD0027,1,4054.07,4054.07
OI000419,ORD00134,PROD0078,3,3230.15,9690.45
OI000420,ORD00134,PROD0103,2,8734.45,17468.9
OI000421,ORD00134,PROD0044,3,1734.76,5204.28
OI000422,ORD00134,PROD0094,3,1566.13,4698.39
OI000423,ORD00134,PROD0029,2,1613.13,3226.26
OI000424,ORD00135,PROD0049,2,2378.14,4756.28
OI000425,ORD00136,PROD0077,2,4018.28,8036.56
OI000426,ORD00137,PROD0002,2,7391.07,14782.14
OI000427,ORD00137,PROD0066,2,6996.26,13992.52
OI000428,ORD00137,PROD0087,1,2185.23,2185.23
OI000429,ORD00137,PROD0118,3,6682.8,20048.4
OI000430,ORD00138,PROD0012,2,3002.46,6004.92
OI000431,ORD00138,PROD0067,2,6652.53,13305.06
OI000432,ORD00138,PROD0024,2,4016.76,8033.52
OI000433,ORD00138,PROD0106,3,2858.17,8574.51
OI000434,ORD00138,PROD0064,1,1729.91,1729.91
OI000435,ORD00139,PROD0102,1,2741.38,2741.38
OI000436,ORD00139,PROD0040,2,8799.35,17598.7
OI000437,ORD00140,PROD0083,3,6155.61,18466.83
OI000438,ORD00140,PROD0019,2,4676.38,9352.76
OI000439,ORD00140,PROD0054,2,1985.06,3970.12
OI000440,ORD00140,PROD0074,1,5831.3,5831.3
OI000441,ORD00141,PROD0091,1,1699.66,1699.66
OI000442,ORD00141,PROD0077,2,4018.28,8036.56
OI000443,ORD00141,PROD0013,1,5815.79,5815.79
OI000444,ORD00141,PROD0103,3,8734.45,26203.35
OI000445,ORD00142,PROD0041,3,673.46,2020.38
OI000446,ORD00143,PROD0059,3,1916.53,5749.59
OI000447,ORD00143,PROD0063,2,4907.85,9815.7
OI000448,ORD00144,PROD0095,1,8999.92,8999.92
OI000449,ORD00145,PROD0050,1,2366.52,2366.52
OI000450,ORD00145,PROD0108,2,3378.38,6756.76
OI000451,ORD00146,PROD0015,1,3863.25,3863.25
OI000452,ORD00146,PROD0104,3,8184.21,24552.63
OI000453,ORD00146,PROD0019,3,4676.38,14029.14
OI000454,ORD00147,PROD0025,1,2722.31,2722.31
OI000455,ORD00148,PROD0041,2,673.46,1346.92
OI000456,ORD00148,PROD0029,1,1613.13,1613.13
OI000457,ORD00148,PROD0023,3,8776.04,26328.12
OI000458,ORD00148,PROD0038,3,5439.85,16319.55
OI000459,ORD00149,PROD0039,2,6029.55,12059.1
OI000460,ORD00149,PROD0075,1,6607.99,6607.99
OI000461,ORD00149,PROD0104,1,8184.21,8184.21
OI000462,ORD00150,PROD0116,1,5120.51,5120.51
OI000463,ORD00150,PROD0037,2,6128.81,12257.62
OI000464,ORD00150,PROD0058,1,1996.74,1996.74
OI000465,ORD00150,PROD0061,2,600.82,1201.64
OI000466,ORD00151,PROD0120,1,3108.36,3108.36
OI000467,ORD00151,PROD0030,1,6004.45,6004.45
OI000468,ORD00151,PROD0014,3,7753.38,23260.14
OI000469,ORD00151,PROD0029,3,1613.13,4839.39
OI000470,ORD00151,PROD0050,2,2366.52,4733.04
OI000471,ORD00152,PROD0055,3,4293.43,12880.29
OI000472,ORD00153,PROD0092,3,5652.98,16958.94
OI000473,ORD00153,PROD0049,1,2378.14,2378.14
OI000474,ORD00153,PROD0106,1,2858.17,2858.17
OI000475,ORD00153,PROD0028,1,5144.31,5144.31
OI000476,ORD00154,PROD0023,2,8776.04,17552.08
OI000477,ORD00155,PROD0086,3,7449.93,22349.79
OI000478,ORD00155,PROD0076,1,2122.17,2122.17
OI000479,ORD00155,PROD0001,1,347.61,347.61
OI000480,ORD00156,PROD0074,2,5831.3,11662.6
OI000481,ORD00157,PROD0013,2,5815.79,11631.58
OI000482,ORD00158,PROD0030,3,6004.45,18013.35
OI000483,ORD00158,PROD0022,2,2750.63,5501.26
